KIC	T1	e_T1	T2	e_T2	R1/D	e_R1/D	R2/R1	e_R2/R1	T2/T1	Qual	Src	KIS	T1j	T2j	R2/R1j	T1k1	T2k1	R2/R1k1	Simbad	_RA	_DE
 6599919	 5550	  364	 5568	  639	 1.90e-11	 2.47e-12	 0.790	 0.266	 0.700	00010	1100	1	 5509	 5532	 0.823	 5601	 5598	 0.754	Simbad	289.897770	+42.009151
 6603756	 5345	  354	 5249	  584	 1.90e-11	 2.02e-12	 0.684	 0.210	 0.700	00010	1111	3	 5257	 5207	 0.725	 5349	 5254	 0.761	Simbad	291.091610	+42.058479
 6606282	 6036	  355	 3726	  564	 4.60e-11	 3.44e-12	 1.107	 0.171	 0.919	00000	1100	1	 6038	 3689	 1.161	 5983	 5061	 0.773	Simbad	291.872440	+42.030499
 6606653	 6894	  438	 6156	  723	 2.40e-11	 2.73e-12	 0.817	 0.250	 0.799	00000	1100	1	 6511	 6436	 0.733	 7077	 6082	 0.866	Simbad	291.986940	+42.037651
 6606934	 6542	  389	 5310	  694	 1.67e-11	 2.01e-12	 0.811	 0.213	 0.700	00010	1110	2	 6625	 4950	 0.865	 6181	 6329	 0.719	Simbad	292.071660	+42.076382
 6607610	 4813	  351	 4625	  628	 2.94e-11	 2.92e-12	 0.520	 0.268	 0.649	00000	1100	1	 4800	 4648	 0.462	 4883	 4596	 0.623	Simbad	292.276120	+42.037739
 6610219	 6297	  382	 6062	  698	 3.48e-11	 3.13e-12	 0.707	 0.230	 0.961	00000	1100	1	 6197	 5912	 0.581	 6484	 6167	 0.801	Simbad	293.025630	+42.001381
 6611330	 5294	  414	 4990	  752	 1.60e-11	 2.17e-12	 0.710	 0.258	 0.700	00010	0110	2	 5105	 5017	 0.742	 5250	 5070	 0.751	Simbad	293.338070	+42.016312
 6614926	 6654	 2338	 3519	  547	 9.08e-12	 8.58e-12	 6.112	 2.590	 0.700	00011	1100	1	 6516	 3691	 0.970	11140	 3518	 6.142	Simbad	294.331390	+42.093979
 6615041	 5995	  367	 5909	  562	 2.53e-11	 2.67e-12	 0.862	 0.233	 0.984	00100	1100	1	 5949	 5870	 0.887	 6281	 6182	 0.820	Simbad	294.361940	+42.045910
 6616218	 5230	  351	 5078	  643	 7.06e-11	 3.65e-12	 0.439	 0.207	 0.700	00010	1110	2	 5227	 5053	 0.305	 5302	 5134	 0.724	Simbad	294.674100	+42.075581
 6620003	 3860	  353	 3853	  544	 3.47e-11	 3.15e-12	 0.754	 0.229	 1.002	00000	1100	1	 3800	 3810	 0.752	 3901	 3894	 0.755	Simbad	295.622220	+42.092880
 6628237	 5978	  353	 4091	  658	 2.62e-11	 1.78e-12	 0.399	 0.183	 0.436	00000	1110	2	 5927	 4489	 0.391	 6126	 3997	 0.498	Simbad	297.471040	+42.087898
 6629332	 5682	  360	 5549	  574	 2.92e-11	 2.78e-12	 0.692	 0.233	 0.967	00000	1100	1	 5656	 5512	 0.843	 5693	 5581	 0.643	Simbad	297.707120	+42.047371
 6629588	 7016	  374	 4405	  621	 2.65e-11	 2.13e-12	 0.765	 0.199	 0.643	00100	1100	1	 6960	 4261	 0.753	 7159	 4605	 0.788	Simbad	297.755650	+42.009071
 6631721	 6700	  360	 3653	  554	 2.79e-11	 1.88e-12	 0.971	 0.193	 0.700	00010	1100	1	 6702	 3621	 0.975	 6604	 5728	 0.947	Simbad	298.183620	+42.013130
 6633929	 5877	  364	 5099	  589	 1.59e-11	 1.89e-12	 0.826	 0.201	 1.001	00000	1110	2	 6102	 4606	 0.942	 5744	 4974	 0.821	Simbad	298.605380	+42.099720
 6634112	 5243	  356	 5162	  560	 3.19e-11	 2.75e-12	 0.795	 0.215	 0.700	00010	1110	2	 5217	 5146	 0.923	 5265	 5188	 0.659	Simbad	298.642520	+42.092831
 6665223	 5215	  367	 4525	  644	 2.67e-11	 2.62e-12	 0.959	 0.235	 0.970	00000	1100	1	 5882	 4151	 1.614	 5197	 4848	 0.588	Simbad	281.742610	+42.123081
 6669809	 7102	  519	 9042	 1425	 8.36e-11	 1.09e-09	 0.551	 0.219	 0.829	00001	1100	1	 7062	 9300	 0.485	 7828	 6663	 0.804	Simbad	283.909730	+42.131008
 6670812	 7155	  465	 7131	  792	 4.69e-10	 5.24e-11	 0.667	 0.302	 0.991	11000	1000	0	 7155	 7131	 0.667	     	     	      	Simbad	284.355650	+42.103458
